4226.22,18096.81,17985.81,3453.11,1516.00,797.00,0.00,848.00,perfect_posture
6001.50,17722.27,18413.36,4355.37,1472.00,139.00,231.00,1535.00,perfect_posture
6829.53,17767.99,18592.79,4424.99,1457.00,112.00,411.00,1413.00,perfect_posture
5966.34,17578.22,18809.06,4660.46,1507.00,123.00,366.00,1535.00,perfect_posture
7022.17,17490.86,18116.34,8230.91,1490.00,0.00,103.00,1506.00,perfect_posture
9139.00,16713.36,17856.18,8175.11,1511.00,0.00,139.00,1603.00,perfect_posture
9160.74,16694.28,17856.43,8382.95,1466.00,0.00,16.00,1599.00,perfect_posture
9368.58,16667.74,17806.33,8275.39,1515.00,0.00,181.00,1563.00,perfect_posture
9427.73,16149.35,17448.92,7458.46,1495.00,51.00,236.00,1552.00,perfect_posture
9031.68,16776.69,18037.10,7977.53,1730.00,0.00,0.00,1510.00,perfect_posture
4342.00,19570.35,14848.81,6267.29,1563.00,386.00,528.00,1264.00,perfect_posture
7435.22,17314.50,15663.99,10507.57,1598.00,290.00,533.00,1401.00,perfect_posture
10771.32,15995.54,14767.33,11247.79,1719.00,425.00,523.00,1363.00,perfect_posture
10560.56,16059.17,15084.26,11935.59,1761.00,163.00,381.00,1552.00,perfect_posture
13193.92,14671.67,14217.84,11933.37,1729.00,369.00,522.00,1425.00,perfect_posture
12036.30,15255.57,14542.41,11874.19,1709.00,383.00,545.00,1471.00,perfect_posture
12195.96,15782.76,21724.56,-47.35,1463.00,563.00,999.00,1456.00,perfect_posture
4171.79,19943.80,17156.04,3169.53,1481.00,394.00,720.00,1271.00,perfect_posture
6441.83,18623.51,18859.99,7951.91,1573.00,327.00,483.00,1355.00,perfect_posture
11310.58,16220.34,15815.70,11959.15,1611.00,417.00,603.00,1456.00,perfect_posture
8601.69,19939.14,18278.19,3057.85,1023.00,276.00,959.00,1357.00,perfect_posture
8683.19,18760.46,17566.83,5882.93,1502.00,539.00,1112.00,1523.00,perfect_posture
7908.42,18005.26,17503.07,6208.80,1737.00,560.00,737.00,1552.00,perfect_posture
8134.27,17801.93,16230.97,6518.08,1685.00,448.00,569.00,1748.00,perfect_posture
8301.61,17679.19,16203.55,6161.76,1695.00,587.00,964.00,1651.00,perfect_posture
8404.34,17988.43,16237.10,6167.24,1645.00,565.00,1051.00,1569.00,perfect_posture
8340.11,18049.77,16670.94,6325.79,1680.00,563.00,1046.00,1535.00,perfect_posture
8365.93,17989.65,16668.45,6267.30,1673.00,528.00,1023.00,1505.00,perfect_posture
8141.06,18177.12,16792.26,6143.41,1535.00,592.00,923.00,1451.00,perfect_posture
8068.58,18061.97,17015.67,6234.08,1595.00,609.00,935.00,1427.00,perfect_posture
8022.51,17668.10,16304.57,6483.64,1585.00,566.00,861.00,1389.00,perfect_posture
7991.06,17911.78,16688.03,6439.95,1648.00,935.00,463.00,971.00,perfect_posture
7870.93,18762.92,17166.10,4411.88,1583.00,503.00,887.00,1422.00,perfect_posture
7562.98,18457.04,18607.28,4448.74,1660.00,286.00,879.00,1446.00,perfect_posture
7103.97,18181.85,17675.23,5428.79,1579.00,557.00,1035.00,1319.00,perfect_posture
8250.60,18586.59,17911.20,4223.50,1601.00,525.00,961.00,1552.00,perfect_posture
8489.33,18908.21,17386.66,4045.19,1874.00,550.00,994.00,1455.00,perfect_posture
8893.29,18930.90,16354.91,3976.84,1782.00,496.00,578.00,1652.00,perfect_posture
9026.87,19327.28,16682.00,3612.77,1855.00,478.00,432.00,1557.00,perfect_posture
8773.00,19535.61,17042.68,3789.03,1841.00,481.00,626.00,1466.00,perfect_posture
5465.69,18501.10,15179.09,3066.26,498.00,0.00,0.00,0.00,slouching
5604.10,17789.36,15115.09,3467.33,1433.00,0.00,0.00,1008.00,slouching
5358.18,18251.76,15341.33,3659.43,1606.00,0.00,0.00,1089.00,slouching
5285.58,18106.93,14947.13,3496.85,1455.00,0.00,0.00,798.00,slouching
5441.75,17974.46,14545.94,3517.57,1408.00,0.00,0.00,880.00,slouching
5495.52,18753.49,16957.03,2782.71,1418.00,0.00,0.00,797.00,slouching
5469.67,18796.78,15045.30,4143.70,1519.00,0.00,0.00,931.00,slouching
9229.21,18069.14,14355.69,4986.34,1409.00,0.00,0.00,826.00,slouching
9024.89,16899.73,16521.16,2787.28,1615.00,0.00,0.00,1322.00,slouching
5174.32,19153.41,16237.84,3115.58,1762.00,0.00,0.00,1514.00,slouching
5624.10,18979.18,16775.95,2733.83,1683.00,0.00,0.00,1424.00,slouching
5399.95,19647.42,14896.15,7424.79,1561.00,0.00,0.00,1331.00,slouching
12122.28,15320.27,15138.44,11215.80,2015.00,0.00,0.00,1198.00,slouching
10398.76,13923.84,14877.63,11566.20,1756.00,0.00,0.00,1531.00,slouching
10702.15,16495.78,14541.34,7684.27,1832.00,0.00,0.00,1587.00,slouching
11303.21,16429.30,14950.24,8363.39,1947.00,0.00,0.00,1707.00,slouching
12027.92,16526.95,12862.66,7592.11,855.00,0.00,0.00,417.00,slouching
11788.62,18224.56,15104.43,-971.83,0.00,0.00,0.00,0.00,slouching
1988.57,21109.91,15170.74,-1000.88,193.00,0.00,0.00,0.00,slouching
7199.26,19820.32,16475.24,6705.83,0.00,0.00,0.00,0.00,slouching
12369.46,18067.27,16338.11,10353.69,0.00,0.00,0.00,0.00,slouching
13644.74,15728.80,12515.04,9782.60,1779.00,0.00,0.00,1220.00,slouching
